county,candidate,votes
Alameda,Hillary Clinton,514842
Alameda,Donald J. Trump,95922
Alameda,Jill Stein,17830
Alameda,Gary Johnson,16906
Alpine,Hillary Clinton,334
Alpine,Donald J. Trump,217
Alpine,Jill Stein,21
Alpine,Gary Johnson,25
Amador,Hillary Clinton,6004
Amador,Donald J. Trump,10485
Amador,Jill Stein,227
Amador,Gary Johnson,804
Butte,Hillary Clinton,41567
Butte,Donald J. Trump,45144
Butte,Jill Stein,2594
Butte,Gary Johnson,4625
Calaveras,Hillary Clinton,7944
Calaveras,Donald J. Trump,13511
Calaveras,Jill Stein,424
Calaveras,Gary Johnson,1104
Colusa,Hillary Clinton,2661
Colusa,Donald J. Trump,3551
Colusa,Jill Stein,85
Colusa,Gary Johnson,260
Contra Costa,Hillary Clinton,319287
Contra Costa,Donald J. Trump,115956
Contra Costa,Jill Stein,8637
Contra Costa,Gary Johnson,16123
Del Norte,Hillary Clinton,3485
Del Norte,Donald J. Trump,5134
Del Norte,Jill Stein,245
Del Norte,Gary Johnson,416
El Dorado,Hillary Clinton,36404
El Dorado,Donald J. Trump,49247
El Dorado,Jill Stein,1425
El Dorado,Gary Johnson,5027
Fresno,Hillary Clinton,141341
Fresno,Donald J. Trump,124049
Fresno,Jill Stein,4300
Fresno,Gary Johnson,9246
Glenn,Hillary Clinton,3065
Glenn,Donald J. Trump,5788
Glenn,Jill Stein,97
Glenn,Gary Johnson,375
Humboldt,Hillary Clinton,33200
Humboldt,Donald J. Trump,18373
Humboldt,Jill Stein,3681
Humboldt,Gary Johnson,2163
Imperial,Hillary Clinton,32667
Imperial,Donald J. Trump,12704
Imperial,Jill Stein,745
Imperial,Gary Johnson,1221
Inyo,Hillary Clinton,3155
Inyo,Donald J. Trump,4248
Inyo,Jill Stein,214
Inyo,Gary Johnson,328
Kern,Hillary Clinton,98689
Kern,Donald J. Trump,129584
Kern,Jill Stein,2887
Kern,Gary Johnson,9359
Kings,Hillary Clinton,13617
Kings,Donald J. Trump,18093
Kings,Jill Stein,411
Kings,Gary Johnson,1338
Lake,Hillary Clinton,11496
Lake,Donald J. Trump,10599
Lake,Jill Stein,930
Lake,Gary Johnson,1095
Lassen,Hillary Clinton,2224
Lassen,Donald J. Trump,7574
Lassen,Jill Stein,105
Lassen,Gary Johnson,473
Los Angeles,Hillary Clinton,2464364
Los Angeles,Donald J. Trump,769743
Los Angeles,Jill Stein,76465
Los Angeles,Gary Johnson,88968
Madera,Hillary Clinton,17029
Madera,Donald J. Trump,23357
Madera,Jill Stein,644
Madera,Gary Johnson,1558
Marin,Hillary Clinton,108707
Marin,Donald J. Trump,21771
Marin,Jill Stein,3109
Marin,Gary Johnson,4180
Mariposa,Hillary Clinton,3122
Mariposa,Donald J. Trump,5185
Mariposa,Jill Stein,189
Mariposa,Gary Johnson,326
Mendocino,Hillary Clinton,22079
Mendocino,Donald J. Trump,10888
Mendocino,Jill Stein,2108
Mendocino,Gary Johnson,1331
